response_id,responded_at,email,first_name,last_name,nickname,date_of_birth,university,graduation_class,hometown,majors,scheduling,interests,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,website_experience,meetup_comfort
0,2015-09-03 18:55:01 -0400,alyce.howe@gmail.com,Alyce,Howe,,1998,North Lynch,Sophomore,"West Dedricburgh, Tanzania",Information Systems,,Quisquam eum dolorum ut animi a. Est impedit consequuntur laudantium nam. Ab architecto aliquid quibusdam quo velit ullam quia. Qui et architecto praesentium ipsum.,1,1,1,0,0,1,Other,1,1,1,1,0,Sounds scary
1,2015-08-31 14:03:47 -0400,curt_kshlerin@hotmail.com,Curt,Kshlerin,,1999,West Illinois College,Graduate,"North Wava, Moldova",Information Systems,,Assumenda totam voluptatem qui. Reiciendis sed nihil et sint in nesciunt quod. Est voluptates qui enim animi iste. Ex commodi qui dolorum vitae. Odit dolor architecto ut suscipit ipsa quia inventore.,0,0,0,0,0,1,Windows OS,1,1,0,1,1,Sounds fine
2,2015-09-08 15:44:00 -0400,block.carley@hotmail.com,Carley,Block,,1998,Pfannerstill Academy,Senior,"Port Heber, Greenland",Engineering,,Perspiciatis quidem delectus repellat ut possimus repellendus. Voluptates nisi ut ipsa vero deserunt at est. Maiores cumque molestias fugiat odit qui. Id vel consequatur. Vel a molestiae placeat excepturi quae.,1,0,0,1,0,1,Windows OS,1,1,0,1,1,Sounds fine
3,2015-09-03 16:55:39 -0400,aufderhar_mozelle@yahoo.com,Mozelle,Aufderhar,,1998,The Bruen Academy,Alumni,"Geoffreymouth, Australia",Engineering,,Nihil quis dolor tempore. Voluptatem fuga totam aut omnis eaque dicta qui. Ut fuga ex facilis pariatur sunt omnis non.,1,0,0,0,0,1,Windows OS,1,1,1,1,0,Sounds scary
4,2015-09-02 18:15:10 -0400,lily.stiedemann@yahoo.com,Lily,Stiedemann,,2000,Lowe University,Freshman,"North Carlofort, New Caledonia",Engineering,,Ut sed necessitatibus incidunt quaerat quibusdam reiciendis. Temporibus optio quisquam et rerum sapiente sit qui. Ut qui illum libero repudiandae. Quo non sit asperiores et. Numquam dolorum commodi tempore laboriosam.,1,1,1,0,1,1,Mac OS,1,1,0,1,0,Sounds fine
5,2015-08-31 19:13:56 -0400,elijah.luettgen@gmail.com,Elijah,Luettgen,Flexidy,1999,Wolf College,Sophomore,"Port Lorenzomouth, Swaziland",Other,,Ut et quaerat ad qui corrupti ducimus cupiditate. Voluptatem ratione consequatur quo. Accusamus magni sit officia voluptatem. Numquam distinctio aut soluta.,1,1,0,0,1,1,Windows OS,1,1,1,0,1,Sounds scary
6,2015-09-01 01:38:08 -0400,andres.beahan@yahoo.com,Andres,Beahan,,1999,West Schmeler,Sophomore,"Jastbury, Suriname",Engineering,,Sit veritatis sunt eligendi consequuntur. Ullam veniam et nisi ut. Quibusdam ex aut minus labore nostrum laboriosam sapiente. Dignissimos sint quibusdam laboriosam voluptatem. Non eum pariatur tenetur sunt explicabo corrupti.,1,0,0,0,0,1,Windows OS,1,0,0,0,1,Sounds fine
7,2015-09-08 06:28:07 -0400,nelle_nader@yahoo.com,Nelle,Nader,,2000,Eastern Toy,Alumni,"East Huberttown, Kazakhstan",Information Systems,,A voluptas nihil doloribus magni sit sed voluptatem. Eius est quia quisquam hic laborum modi dolores. Ratione repellendus reprehenderit tempora et sed consequatur. Omnis quia sed aliquid sequi possimus qui aliquam.,1,1,1,0,0,1,Windows OS,1,1,0,1,0,Sounds fine
8,2015-09-01 06:54:46 -0400,maggio_rahsaan@gmail.com,Rahsaan,Maggio,,1997,Rice College,Junior,"Kiannafurt, Guernsey",Engineering,,Non beatae suscipit eum maxime quasi numquam et. Ipsam rerum rerum quasi. Debitis accusantium veniam aperiam aut commodi ipsam. Doloribus eos voluptas consequatur. Odit quos aut consectetur nostrum illo et et.,0,0,0,0,0,1,Mac OS,0,1,0,0,0,Sounds scary
9,2015-09-01 21:50:02 -0400,lebsack.gideon@gmail.com,Gideon,Lebsack,,2000,West Durgan Academy,Junior,"Winifredmouth, Sweden",Information Systems,,Unde autem et molestiae quaerat tempore. Officia aut iure. Tempore suscipit aut error quaerat iusto quidem. Dolor ad occaecati est qui maiores aut.,1,1,1,0,0,1,Mac OS,1,1,1,1,1,Sounds scary
10,2015-09-04 11:13:35 -0400,william_tillman@yahoo.com,William,Tillman,,1999,West Academy,Freshman,"Lake Raphaelle, Burundi",Engineering,,Dolores enim mollitia ducimus accusantium quis ipsa. Odio consequatur quam ea qui. Sed voluptatem vel ut. Temporibus et facilis nostrum eius excepturi totam.,1,1,0,0,1,1,Windows OS,1,1,0,1,1,Sounds scary
11,2015-08-31 11:32:24 -0400,genesis.swift@yahoo.com,Genesis,Swift,Aerified,2000,Northern Delaware Academy,Alumni,"East Waldo, New Zealand",Information Systems,conflict_before,Id officiis et repudiandae vitae cum. Dolorem alias id nam nihil neque. Neque qui laudantium rerum voluptate corporis quia blanditiis.,1,1,0,0,0,1,Mac OS,0,0,1,0,1,Sounds fine
12,2015-08-31 16:16:52 -0400,susie_jacobson@hotmail.com,Susie,Jacobson,Vagram,2000,West Virginia University,Junior,"North Carolannestad, Pitcairn Islands",Engineering,,Sit omnis voluptatem. Et quia est iusto dolorum. Culpa corporis autem quis numquam ducimus non non. Possimus quo eos et provident error.,0,1,0,0,1,1,Windows OS,1,1,0,1,0,Sounds scary
13,2015-09-05 14:52:12 -0400,art.osinski@hotmail.com,Art,Osinski,,2000,Southern Virginia College,Alumni,"South Elisha, Democratic People's Republic of Korea",Information Systems,,Quas pariatur inventore. Sed illo officiis. Dolorem incidunt vel at a vel facilis. Corrupti ut ut. Eos ab asperiores.,1,0,0,0,0,1,Windows OS,1,1,1,1,1,Sounds scary
14,2015-08-31 13:34:13 -0400,haag_forest@gmail.com,Forest,Haag,,2000,West Georgia Academy,Sophomore,"Pfannerstillton, Lesotho",Information Systems,,Voluptate voluptatem illum est. Deleniti vero suscipit ea ipsa officia. Cumque laudantium veniam rerum facilis architecto dolorem. Ut quae sunt ut impedit ut tenetur inventore.,1,1,0,1,0,1,Mac OS,1,1,1,0,1,Sounds fine
15,2015-09-02 12:21:11 -0400,francesco_nitzsche@yahoo.com,Francesco,Nitzsche,,1999,Southern Cormier,Senior,"Arvillaport, Australia",Engineering,,Fuga magnam repudiandae totam perspiciatis dicta. Ipsam autem ad quia nulla velit occaecati amet. Repudiandae cum quaerat.,1,1,1,0,1,1,Windows OS,1,1,1,1,1,Sounds fine
16,2015-09-08 10:35:43 -0400,ratke.leanne@yahoo.com,Leanne,Ratke,,1999,Western Emard,Graduate,"Baumbachstad, Bahrain",Information Systems,,Molestiae quis ratione pariatur aliquid modi soluta quia. Incidunt quia debitis tempora earum ut. Laboriosam labore quam est dignissimos. Nesciunt distinctio quaerat est sed.,1,1,0,0,0,1,Mac OS,1,0,1,0,1,Sounds fine
17,2015-09-02 08:59:57 -0400,jocelyn.feeney@hotmail.com,Jocelyn,Feeney,,2000,Western Cummings University,Sophomore,"Jackelineberg, Cambodia",Finance,,Sed eum sunt consequuntur aut consequatur. Dolore velit fugit sit error omnis delectus. Blanditiis deleniti tempore. Cupiditate et ut et ut iure voluptatem et.,0,0,1,0,0,1,Windows OS,1,0,1,0,0,Sounds fine
18,2015-09-07 14:55:26 -0400,krystina.mayer@yahoo.com,Krystina,Mayer,Wrapsafe,1998,The Price Institute,Junior,"Dachfurt, United Kingdom",Marketing,,Et illum et magnam officiis autem. Aut nesciunt ad. Qui molestias quae velit sed quod. Perspiciatis sequi ipsa dolorem tenetur provident nobis.,1,1,1,0,0,1,Mac OS,1,1,0,1,0,Sounds fine
19,2015-09-05 01:43:33 -0400,effertz_harmon@yahoo.com,Harmon,Effertz,,1999,Flatley Institute,Junior,"South Michelle, Israel",Information Systems,,Accusamus nostrum cumque nam unde aut illo. Aut est soluta inventore error. Officiis deleniti modi officia voluptatibus ad odit dicta. Ullam iusto dolorum sequi rerum.,1,0,0,0,0,1,Mac OS,1,0,0,1,1,Sounds fine
20,2015-09-06 15:23:42 -0400,cullen_bernhard@yahoo.com,Cullen,Bernhard,,1999,South Kris University,Senior,"Stoltenbergburgh, Singapore",Marketing,,Quaerat consequuntur voluptas et enim eum. Omnis quae autem magni et laudantium quisquam. Illo accusamus perferendis est. Est et facilis est numquam voluptates doloribus.,0,1,0,0,0,1,Windows OS,0,1,0,1,1,Sounds fine
21,2015-08-31 20:07:45 -0400,lela.aufderhar@gmail.com,Lela,Aufderhar,,1998,East Vermont College,Senior,"East Oswaldohaven, Cape Verde",Marketing,,Aut vel labore soluta quia et facilis. Rerum enim asperiores. Quia officia accusamus placeat soluta. Culpa quidem est voluptas consectetur accusantium.,1,1,0,0,0,1,Mac OS,1,0,0,0,1,Sounds fine
22,2015-09-06 05:58:54 -0400,odell.dickens@yahoo.com,Odell,Dickens,,1997,Little College,Sophomore,"Schummview, Sri Lanka",Information Systems,,Ad ut cum vero suscipit quaerat. Vero at qui esse. Eum maiores dolorem molestiae et sunt. Porro possimus praesentium quo delectus ullam.,1,0,1,1,1,1,Mac OS,1,1,1,1,0,Sounds scary
23,2015-09-08 12:21:31 -0400,mayert_nolan@gmail.com,Nolan,Mayert,,1997,Western Lakin,Sophomore,"South Rick, Puerto Rico",Information Systems,,Magni ut voluptatibus nisi qui voluptates ab. Ullam aut delectus. Aut dicta laboriosam dolores odio. Alias blanditiis perferendis commodi repellendus. Autem quae et excepturi unde consequatur.,1,1,0,0,0,1,Windows OS,1,1,0,1,1,Sounds scary
24,2015-09-07 15:23:02 -0400,tromp.shanel@yahoo.com,Shanel,Tromp,Y-find,1998,Northern North Carolina Academy,Graduate,"Lake Buddy, Martinique",Information Systems,,Maiores debitis eos aliquam accusantium quaerat autem voluptates. Ipsa occaecati aspernatur. Beatae maiores sequi eligendi. Nemo sed blanditiis eos placeat at eveniet aspernatur.,0,0,0,1,1,1,Mac OS,1,1,1,1,0,Sounds fine
25,2015-09-02 09:43:27 -0400,claudie.hudson@hotmail.com,Claudie,Hudson,Keylex,2000,Luettgen University,Senior,"East Monique, El Salvador",Information Systems,conflict_before,Ut eum excepturi inventore qui incidunt delectus. Molestiae cum illum dignissimos ut aut similique incidunt. Ipsa odio nisi libero laudantium esse similique. Ipsum quos ad deleniti maxime reprehenderit.,0,1,0,0,1,1,Windows OS,0,1,1,0,0,Sounds scary
26,2015-09-08 22:06:27 -0400,kozey_presley@hotmail.com,Presley,Kozey,Zoolab,1997,West Herzog Academy,Graduate,"East Hassieberg, Slovenia",Engineering,,Et ullam eos nesciunt est ipsum est laborum. Tempora qui voluptatem. Officiis sit qui et qui exercitationem amet. Et consectetur ducimus. Quia omnis accusamus velit voluptatem.,1,1,0,0,0,1,Mac OS,1,1,1,1,1,Sounds scary
27,2015-09-08 11:06:23 -0400,rachelle.gutkowski@gmail.com,Rachelle,Gutkowski,,1997,Vandervort Institute,Sophomore,"New Myrl, Tonga",Engineering,,Natus quos minima sed. Quas consequatur repellat est hic delectus earum velit. Modi voluptas doloribus perspiciatis minus. Molestiae soluta id eligendi. Quis aut omnis iure natus.,1,0,0,0,0,1,Mac OS,0,0,0,1,1,Sounds fine
28,2015-09-04 20:29:38 -0400,zemlak.helga@hotmail.com,Helga,Zemlak,,1999,North Arkansas College,Junior,"North Genovevaville, Cayman Islands",Engineering,,Nemo fugiat rerum quisquam tempore enim perferendis rerum. Eum distinctio optio minima dolorum ipsam blanditiis atque. Aut nulla eligendi fugiat. Vitae et minus vel possimus in qui. Porro atque quis ut eos velit sint.,1,1,0,0,0,1,Windows OS,1,1,0,1,1,Sounds scary
