listener_id, cc_holder_name, cc_number, cc_exp_month, cc_exp_year, cc_zipcode, invoice_usd_per_day
1,Rozella Conn,1228-1221-1221-1431,2,2017,83914,0.4
2,Ashley Bode,1211-1221-1234-2201,9,2017,48591,0.2
3,Laurie Dach,1234-2121-1221-1211,2,2016,70755-9687,0.0
4,Devon Pollich,1234-2121-1221-1211,10,2015,86713,0.2
5,Johanna Adams,1228-1221-1221-1431,8,2017,67063,0.0
6,Allie Kris,1211-1221-1234-2201,10,2016,75705-5173,0.4
7,Lauriane Price,1228-1221-1221-1431,1,2020,63058-9074,0.4
8,Murray O'Reilly,1212-1221-1121-1234,11,2016,98583-1347,0.0
9,Veda Bayer,1228-1221-1221-1431,11,2017,42199,0.0
10,Jordane McLaughlin,1228-1221-1221-1431,4,2019,86780-9022,0.4
11,Rachel Dach,1234-2121-1221-1211,3,2020,97415,0.4
12,Rodrigo Klein,1228-1221-1221-1431,11,2020,33245-4591,0.4
13,"Sauer, Quigley and Feeney",1212-1221-1121-1234,1,2017,50928,0.4
14,Guiseppe Ward,1234-2121-1221-1211,11,2020,62169,0.4
15,Catalina Schmitt,1228-1221-1221-1431,12,2016,91689,0.4
16,Asha Rolfson,1228-1221-1221-1431,7,2015,18373,0.0
17,Larkin-Christiansen,1234-2121-1221-1211,12,2019,95083,0.4
18,Vivien Dietrich,1234-2121-1221-1211,12,2018,50803,0.2
19,Gus Mann,1212-1221-1121-1234,8,2020,99415-6512,0.4
20,Otha Leannon,1211-1221-1234-2201,10,2016,95080-9157,0.4
21,Elmo Grimes,1211-1221-1234-2201,11,2016,64597,0.0
22,Garrison Thompson,1212-1221-1121-1234,2,2017,37263-8072,0.0
23,Micah Runte,1234-2121-1221-1211,8,2016,45019,0.4
24,Demarcus Flatley,1228-1221-1221-1431,1,2017,96973-3710,0.2
25,Kris Kunze,1212-1221-1121-1234,10,2015,14500,0.0
26,Arlie Emmerich,1234-2121-1221-1211,8,2020,98464,0.2
27,Feeney and Sons,1212-1221-1121-1234,9,2015,30539,0.2
